区域,名称,房型,房子朝向,月租,板块名称,租赁方式,面积
龙岗区,承翰南联公馆,1室1厅1卫,东 东南,1300,龙岗中心城,整租,45.00
龙岗区,竹沁苑公寓,1室0厅1卫,东南,1300,龙岗中心城,整租,50.02
龙岗区,远洋新干线二期,4室1厅1卫,东南,1200,龙岗中心城,合租,12.00
龙岗区,东方明珠城,4室1厅2卫,东北,1250,龙岗中心城,合租,12.00
宝安区,天福华府,4室1厅2卫,东北,1200,西乡,合租,12.00
宝安区,华侨城四海云亭,4室0厅0卫,东南,1280,沙井,合租,18.00
龙岗区,阳光广场,1室0厅1卫,西北,1300,龙岗中心城,整租,18.00
宝安区,御景湾,3室0厅2卫,南 西北,1300,宝安中心,合租,12.00
龙岗区,恒地悦山湖花园,5室1厅2卫,南 北,1280,横岗,合租,11.00
龙岗区,城市花园一期（龙岗）,1室1厅1卫,南,1300,龙岗中心城,整租,179.00
坪山区,凤凰公馆,2室1厅1卫,西北,1300,坪山,整租,65.00
罗湖区,侨社小区,6室1厅6卫,南,1200,罗湖口岸,合租,15.00
龙岗区,龙园龙凤雅居,3室1厅1卫,东,1300,布吉街,合租,12.00
龙岗区,振业城一期,4室1厅1卫,南,1300,横岗,合租,12.20
龙岗区,阳光广场,1室0厅1卫,南,1300,龙岗中心城,整租,22.90
龙岗区,慢城一期,3室1厅1卫,南,1200,布吉石芽岭,合租,12.00
罗湖区,侨社小区,6室1厅6卫,南,1200,罗湖口岸,合租,15.00
宝安区,裕安花园,3室2厅1卫,东南,1200,新安,合租,18.00
宝安区,中粮凤凰里,3室2厅1卫,南,1300,福永,合租,12.00
龙岗区,东方明珠城,4室1厅1卫,西南,980,龙岗中心城,合租,10.00
龙岗区,君胜熙珑山,3室2厅2卫,南,1300,坪地,整租,89.00
福田区,振业梅苑,4室2厅2卫,南 北,1200,梅林,合租,15.00
龙岗区,阳光广场,1室0厅1卫,东南,1300,龙岗中心城,整租,23.00
宝安区,雅涛花园,3室1厅2卫,西南,1200,西乡,合租,8.00
龙岗区,阳光广场,1室0厅1卫,南,1300,龙岗中心城,整租,23.34
龙岗区,风临域,6室1厅2卫,东,1300,龙岗中心城,合租,30.00
龙岗区,又一城,3室0厅0卫,南,1300,大运新城,合租,12.00
龙岗区,信义嘉御山,3室0厅0卫,东南,1200,坂田,合租,10.00
坪山区,龙光玖云著,2室1厅1卫,东南,1300,坪山,整租,36.68
宝安区,天福华府,3室1厅2卫,西南,1100,西乡,合租,12.00
福田区,合正园,7室0厅2卫,南,1300,梅林,合租,15.00
罗湖区,侨社小区,6室1厅6卫,南,1200,罗湖口岸,合租,15.00
罗湖区,侨社小区,6室1厅6卫,南,1200,罗湖口岸,合租,15.00
宝安区,星航华府一期,4室1厅1卫,东南,1300,福永,合租,12.00
宝安区,裕安花园,3室2厅1卫,东南,1200,新安,合租,18.00
龙岗区,阳光广场,1室0厅1卫,南,1300,龙岗中心城,整租,23.34
罗湖区,港莲一村,1室0厅0卫,东,1100,莲塘,合租,10.90
龙岗区,翡翠星光园,4室1厅2卫,西,1300,布吉关,合租,8.00
宝安区,天福华府,4室1厅2卫,西北,1100,西乡,合租,10.00
宝安区,中粮凤凰里,3室2厅1卫,南,1300,福永,合租,12.00
龙岗区,东方明珠城,4室1厅1卫,西南,980,龙岗中心城,合租,10.00
龙岗区,君胜熙珑山,3室2厅2卫,南,1300,坪地,整租,89.00
福田区,振业梅苑,4室2厅2卫,南 北,1200,梅林,合租,15.00
龙岗区,风临域,6室1厅2卫,东,1300,龙岗中心城,合租,30.00
龙岗区,又一城,3室0厅0卫,南,1300,大运新城,合租,12.00
龙岗区,信义嘉御山,3室0厅0卫,东南,1200,坂田,合租,10.00
龙岗区,花语馨,3室1厅1卫,东北,1200,布吉街,合租,14.00
龙岗区,满京华喜悦里,4室1厅2卫,东南,1100,龙岗双龙,合租,10.00
宝安区,天福华府,3室1厅2卫,西南,1100,西乡,合租,12.00
福田区,合正园,7室0厅2卫,南,1300,梅林,合租,15.00
龙岗区,壹锦园,6室3厅2卫,南,1300,龙岗中心城,合租,13.00
龙岗区,阳光广场,1室1厅1卫,东南,1300,龙岗中心城,整租,18.00
罗湖区,港莲一村,1室0厅0卫,东,1100,莲塘,合租,10.90
福田区,润丰园,6室0厅1卫,北,1300,景田,合租,12.00
龙岗区,花语馨,4室0厅1卫,南,1300,布吉街,合租,14.00
龙岗区,金地名郡园,4室1厅2卫,东南,1100,龙岗中心城,合租,16.00
龙岗区,壹锦园,6室3厅2卫,南,1300,龙岗中心城,合租,13.00
龙华区,鸿荣源·壹成中心第七区,2室1厅1卫,南,1300,龙华中心,合租,89.04
龙岗区,又一城,3室0厅0卫,南,1100,大运新城,合租,89.37
龙岗区,商住楼,1室0厅1卫,东南,1300,大运新城,整租,35.21
龙岗区,龙珠花园B区,3室1厅1卫,南,1300,布吉关,合租,76.37
龙岗区,满京华喜悦里,4室1厅2卫,东南,1000,龙岗双龙,合租,12.00
龙岗区,阳光花园二期,5室2厅2卫,东,1200,布吉街,合租,130.69
龙岗区,中海康城国际一期,2室1厅1卫,西南,1100,大运新城,合租,73.54
福田区,合正园,7室0厅2卫,南,1300,梅林,合租,168.09
龙岗区,茂业城,1室1厅1卫,西北,1300,布吉大芬,整租,40.00
龙华区,华富综合市场,2室2厅1卫,南,1300,龙华中心,合租,25.00
龙岗区,满京华喜悦里,5室2厅1卫,南,1000,龙岗双龙,合租,9.00
龙岗区,东方明珠城,5室1厅2卫,南,950,龙岗中心城,合租,106.61
龙岗区,吉星花园,1室0厅0卫,东南,900,布吉关,合租,15.00
